SessionId,SessionDate,SessionStartTime,SessionEndTime,SessionVenueId,NumberofBeds,Numberofconsultants,NumberofNurses,NumberInvited,NumberAttended,NumberofDonations,TotalBloodCollected
52,2015-02-21,2015-02-21 09:00:00,2015-02-21 14:00:00,1,3,1,5,45,24,14,8
53,2015-02-22,2015-02-22 09:00:00,2015-02-22 14:00:00,1,3,1,5,45,24,14,8
54,2015-02-23,2015-02-23 09:00:00,2015-02-23 14:00:00,1,3,1,5,45,24,14,8
55,2015-02-24,2015-02-24 09:00:00,2015-02-24 14:00:00,1,3,1,5,45,24,14,8
56,2015-02-25,2015-02-25 09:00:00,2015-02-25 14:00:00,1,3,1,5,45,24,14,8
57,2015-02-26,2015-02-26 09:00:00,2015-02-26 14:00:00,1,3,1,5,45,24,14,8
58,2015-02-27,2015-02-27 09:00:00,2015-02-27 14:00:00,1,3,1,5,45,24,14,8
59,2015-02-28,2015-02-28 09:00:00,2015-02-28 14:00:00,1,3,1,5,45,24,14,8
60,2015-03-01,2015-03-01 09:00:00,2015-03-01 14:00:00,1,3,1,5,45,24,14,8
61,2015-03-02,2015-03-02 09:00:00,2015-03-02 14:00:00,1,3,1,5,45,24,14,8
62,2015-03-03,2015-03-03 09:00:00,2015-03-03 14:00:00,1,3,1,5,45,24,14,8
63,2015-03-04,2015-03-04 09:00:00,2015-03-04 14:00:00,1,3,2,5,45,24,14,8
64,2015-03-05,2015-03-05 09:00:00,2015-03-05 14:00:00,1,3,2,5,45,24,14,8
65,2015-03-06,2015-03-06 09:00:00,2015-03-06 14:00:00,1,3,2,5,45,24,14,8
66,2015-03-07,2015-03-07 09:00:00,2015-03-07 14:00:00,1,3,2,5,45,24,14,8
67,2015-03-08,2015-03-08 09:00:00,2015-03-08 14:00:00,1,3,2,5,45,24,14,8
68,2015-03-09,2015-03-09 09:00:00,2015-03-09 14:00:00,1,3,2,5,45,24,14,8
69,2015-03-10,2015-03-10 09:00:00,2015-03-10 14:00:00,1,3,2,5,45,24,14,8
70,2015-03-11,2015-03-11 09:00:00,2015-03-11 14:00:00,1,3,2,5,45,24,14,8
71,2015-03-12,2015-03-12 09:00:00,2015-03-12 14:00:00,1,3,2,5,45,24,14,8
72,2015-03-13,2015-03-13 09:00:00,2015-03-13 14:00:00,1,3,2,5,45,24,14,8
73,2015-03-14,2015-03-14 09:00:00,2015-03-14 14:00:00,1,3,2,5,45,24,14,8
74,2015-03-15,2015-03-15 09:00:00,2015-03-15 14:00:00,1,3,2,5,45,24,14,8
75,2015-03-16,2015-03-16 09:00:00,2015-03-16 14:00:00,1,3,2,5,45,24,14,8
76,2015-03-17,2015-03-17 09:00:00,2015-03-17 14:00:00,1,3,2,5,45,24,14,8
77,2015-03-18,2015-03-18 09:00:00,2015-03-18 14:00:00,1,3,2,5,45,24,14,8
78,2015-03-19,2015-03-19 09:00:00,2015-03-19 14:00:00,1,3,2,5,45,24,14,8
79,2015-03-20,2015-03-20 09:00:00,2015-03-20 14:00:00,1,3,3,5,45,24,14,8
80,2015-03-21,2015-03-21 09:00:00,2015-03-21 14:00:00,1,3,3,5,45,24,14,8
81,2015-03-22,2015-03-22 09:00:00,2015-03-22 14:00:00,1,3,3,5,45,24,14,8
82,2015-03-23,2015-03-23 09:00:00,2015-03-23 14:00:00,1,3,3,5,45,24,14,8
83,2015-03-24,2015-03-24 09:00:00,2015-03-24 14:00:00,1,3,3,5,45,24,14,8
84,2015-03-25,2015-03-25 09:00:00,2015-03-25 14:00:00,1,3,3,5,45,24,14,8
85,2015-03-26,2015-03-26 09:00:00,2015-03-26 14:00:00,1,3,3,5,45,24,14,8
86,2015-03-27,2015-03-27 09:00:00,2015-03-27 14:00:00,1,3,3,5,45,24,14,8
87,2015-03-28,2015-03-28 09:00:00,2015-03-28 14:00:00,1,3,3,5,45,24,14,8
88,2015-03-29,2015-03-29 09:00:00,2015-03-29 14:00:00,1,3,3,5,45,24,14,8
89,2015-03-30,2015-03-30 09:00:00,2015-03-30 14:00:00,1,3,3,5,45,12,5,3
90,2015-03-31,2015-03-31 09:00:00,2015-03-31 14:00:00,1,3,3,5,45,11,4,2
91,2015-04-01,2015-04-01 09:00:00,2015-04-01 14:00:00,1,3,3,5,45,9,2,1
92,2015-04-02,2015-04-02 09:00:00,2015-04-02 14:00:00,1,3,3,5,45,8,2,1
93,2015-04-03,2015-04-03 09:00:00,2015-04-03 14:00:00,1,3,2,5,45,24,14,8
94,2015-04-04,2015-04-04 09:00:00,2015-04-04 14:00:00,1,3,2,5,45,24,14,8
95,2015-04-05,2015-04-05 09:00:00,2015-04-05 14:00:00,1,3,2,5,45,24,14,8
96,2015-04-06,2015-04-06 09:00:00,2015-04-06 14:00:00,1,3,2,5,45,24,14,8
97,2015-04-07,2015-04-07 09:00:00,2015-04-07 14:00:00,1,3,2,5,45,24,14,8
98,2015-04-08,2015-04-08 09:00:00,2015-04-08 14:00:00,1,3,2,5,45,24,14,8
99,2015-04-09,2015-04-09 09:00:00,2015-04-09 14:00:00,1,3,2,5,45,24,14,8
100,2015-04-10,2015-04-10 09:00:00,2015-04-10 14:00:00,1,3,2,5,45,24,14,8
101,2015-04-11,2015-04-11 09:00:00,2015-04-11 14:00:00,1,3,2,5,45,24,14,8
102,2015-04-12,2015-04-12 09:00:00,2015-04-12 14:00:00,1,3,2,5,45,24,14,8
103,2015-04-13,2015-04-13 09:00:00,2015-04-13 14:00:00,1,3,2,5,45,24,14,8
104,2015-04-14,2015-04-14 09:00:00,2015-04-14 14:00:00,1,3,2,5,45,24,14,8
105,2015-04-15,2015-04-15 09:00:00,2015-04-15 14:00:00,1,3,2,5,45,24,14,8
106,2015-04-16,2015-04-16 09:00:00,2015-04-16 14:00:00,1,3,2,5,45,24,14,8
107,2015-04-17,2015-04-17 09:00:00,2015-04-17 14:00:00,1,3,2,5,45,24,14,8
108,2015-04-18,2015-04-18 09:00:00,2015-04-18 14:00:00,1,3,2,5,45,24,14,8
109,2015-04-19,2015-04-19 09:00:00,2015-04-19 14:00:00,1,3,2,5,45,24,14,8
110,2015-04-20,2015-04-20 09:00:00,2015-04-20 14:00:00,1,3,2,5,45,24,14,8
111,2015-04-21,2015-04-21 09:00:00,2015-04-21 14:00:00,1,3,2,5,45,24,14,8
112,2015-04-22,2015-04-22 09:00:00,2015-04-22 14:00:00,1,3,2,5,45,24,14,8
113,2015-04-23,2015-04-23 09:00:00,2015-04-23 14:00:00,1,3,2,5,45,24,14,8
114,2015-04-24,2015-04-24 09:00:00,2015-04-24 14:00:00,1,3,2,5,45,24,14,8
115,2015-04-25,2015-04-25 09:00:00,2015-04-25 14:00:00,1,3,2,5,45,24,14,8
116,2015-04-26,2015-04-26 09:00:00,2015-04-26 14:00:00,1,3,2,5,45,24,14,8
117,2015-04-27,2015-04-27 09:00:00,2015-04-27 14:00:00,1,3,2,5,45,24,14,8
118,2015-04-28,2015-04-28 09:00:00,2015-04-28 14:00:00,1,3,2,5,45,24,14,8
119,2015-04-29,2015-04-29 09:00:00,2015-04-29 14:00:00,1,3,2,3,22,18,10,6
120,2015-04-30,2015-04-30 09:00:00,2015-04-30 14:00:00,1,3,1,3,22,18,10,6
121,2015-05-01,2015-05-01 09:00:00,2015-05-01 14:00:00,1,3,1,3,22,18,10,6
122,2015-05-02,2015-05-02 09:00:00,2015-05-02 14:00:00,1,3,1,3,22,18,10,6
123,2015-05-03,2015-05-03 09:00:00,2015-05-03 14:00:00,1,3,1,3,22,18,10,6
124,2015-05-04,2015-05-04 09:00:00,2015-05-04 14:00:00,1,3,1,3,22,18,10,6
125,2015-05-05,2015-05-05 09:00:00,2015-05-05 14:00:00,1,3,1,3,22,18,10,6
126,2015-05-06,2015-05-06 09:00:00,2015-05-06 14:00:00,1,3,1,3,22,18,10,6
127,2015-05-07,2015-05-07 09:00:00,2015-05-07 14:00:00,1,3,1,3,22,18,10,6
128,2015-05-08,2015-05-08 09:00:00,2015-05-08 14:00:00,1,3,1,3,22,18,10,6
129,2015-05-09,2015-05-09 09:00:00,2015-05-09 14:00:00,1,3,1,3,22,18,10,6
130,2015-05-10,2015-05-10 09:00:00,2015-05-10 14:00:00,1,3,1,3,22,18,10,6
131,2015-05-11,2015-05-11 09:00:00,2015-05-11 14:00:00,1,3,1,3,22,18,10,6
132,2015-05-12,2015-05-12 09:00:00,2015-05-12 14:00:00,1,3,1,3,22,18,10,6
133,2015-05-13,2015-05-13 09:00:00,2015-05-13 14:00:00,1,3,1,3,22,18,10,6
134,2015-05-14,2015-05-14 09:00:00,2015-05-14 14:00:00,1,3,1,3,22,18,10,6
135,2015-05-15,2015-05-15 09:00:00,2015-05-15 14:00:00,1,3,1,3,22,18,10,6
136,2015-05-16,2015-05-16 09:00:00,2015-05-16 14:00:00,1,3,1,3,22,18,10,6
137,2015-05-17,2015-05-17 09:00:00,2015-05-17 14:00:00,1,3,1,3,22,18,10,6
138,2015-05-18,2015-05-18 09:00:00,2015-05-18 14:00:00,1,3,1,3,22,18,10,6
139,2015-05-19,2015-05-19 09:00:00,2015-05-19 14:00:00,1,3,1,3,22,18,10,6
140,2015-05-20,2015-05-20 09:00:00,2015-05-20 14:00:00,1,3,1,3,22,18,10,6
141,2015-05-21,2015-05-21 09:00:00,2015-05-21 14:00:00,1,3,1,3,22,24,14,8
142,2015-05-22,2015-05-22 09:00:00,2015-05-22 14:00:00,1,3,1,4,45,24,14,8
143,2015-05-23,2015-05-23 09:00:00,2015-05-23 14:00:00,1,3,1,4,45,24,14,8
144,2015-05-24,2015-05-24 09:00:00,2015-05-24 14:00:00,1,3,1,4,45,24,14,8
145,2015-05-25,2015-05-25 09:00:00,2015-05-25 14:00:00,1,3,1,4,45,24,14,8
146,2015-05-26,2015-05-26 09:00:00,2015-05-26 14:00:00,1,3,1,4,45,24,14,8
147,2015-05-27,2015-05-27 09:00:00,2015-05-27 14:00:00,1,3,1,4,45,24,14,8
148,2015-05-28,2015-05-28 09:00:00,2015-05-28 14:00:00,1,3,2,4,45,24,14,8
149,2015-05-29,2015-05-29 09:00:00,2015-05-29 14:00:00,1,3,2,4,45,24,14,8
150,2015-05-30,2015-05-30 09:00:00,2015-05-30 14:00:00,1,3,2,4,45,24,14,8
151,2015-05-31,2015-05-31 09:00:00,2015-05-31 14:00:00,1,3,2,4,45,24,14,8
152,2015-06-01,2015-06-01 09:00:00,2015-06-01 14:00:00,1,3,2,4,45,24,14,8
153,2015-06-02,2015-06-02 09:00:00,2015-06-02 14:00:00,1,3,2,4,45,24,14,8
154,2015-06-03,2015-06-03 09:00:00,2015-06-03 14:00:00,1,3,2,4,45,24,14,8
155,2015-06-04,2015-06-04 09:00:00,2015-06-04 14:00:00,1,3,2,4,45,24,14,8
156,2015-06-05,2015-06-05 09:00:00,2015-06-05 14:00:00,1,3,2,4,45,24,14,8
157,2015-06-06,2015-06-06 09:00:00,2015-06-06 14:00:00,1,3,2,4,45,24,14,8
158,2015-06-07,2015-06-07 09:00:00,2015-06-07 14:00:00,1,3,2,4,45,24,14,8
159,2015-06-08,2015-06-08 09:00:00,2015-06-08 14:00:00,1,3,2,4,45,24,14,8
160,2015-06-09,2015-06-09 09:00:00,2015-06-09 14:00:00,1,3,2,4,45,24,14,8
161,2015-06-10,2015-06-10 09:00:00,2015-06-10 14:00:00,1,3,2,4,45,24,14,8
162,2015-06-11,2015-06-11 09:00:00,2015-06-11 14:00:00,1,3,2,4,45,24,14,8
163,2015-06-12,2015-06-12 09:00:00,2015-06-12 14:00:00,1,3,2,4,45,24,14,8
164,2015-06-13,2015-06-13 09:00:00,2015-06-13 14:00:00,1,3,2,4,45,24,14,8
165,2015-06-14,2015-06-14 09:00:00,2015-06-14 14:00:00,1,3,2,4,45,24,14,8
166,2015-06-15,2015-06-15 09:00:00,2015-06-15 14:00:00,1,3,2,4,45,24,14,8
167,2015-06-16,2015-06-16 09:00:00,2015-06-16 14:00:00,1,3,2,4,45,24,14,8
168,2015-06-17,2015-06-17 09:00:00,2015-06-17 14:00:00,1,3,2,4,45,24,14,8
169,2015-06-18,2015-06-18 09:00:00,2015-06-18 14:00:00,1,3,2,4,45,24,14,8
170,2015-06-19,2015-06-19 09:00:00,2015-06-19 14:00:00,1,3,2,4,45,24,14,8
171,2015-06-20,2015-06-20 09:00:00,2015-06-20 14:00:00,1,3,2,4,45,24,14,8
172,2015-06-21,2015-06-21 09:00:00,2015-06-21 14:00:00,1,3,2,4,45,24,14,8
173,2015-06-22,2015-06-22 09:00:00,2015-06-22 14:00:00,1,3,2,4,45,24,14,8
174,2015-06-23,2015-06-23 09:00:00,2015-06-23 14:00:00,1,3,2,4,45,24,14,8
175,2015-06-24,2015-06-24 09:00:00,2015-06-24 14:00:00,1,3,2,4,45,24,14,8
176,2015-06-25,2015-06-25 09:00:00,2015-06-25 14:00:00,1,3,2,4,45,24,14,8
177,2015-06-26,2015-06-26 09:00:00,2015-06-26 14:00:00,1,3,2,4,45,24,14,8
178,2015-06-27,2015-06-27 09:00:00,2015-06-27 14:00:00,1,3,2,4,45,24,14,8
179,2015-06-28,2015-06-28 09:00:00,2015-06-28 14:00:00,1,3,2,4,45,24,14,8
180,2015-06-29,2015-06-29 09:00:00,2015-06-29 14:00:00,1,3,2,4,45,24,14,8
181,2015-06-30,2015-06-30 09:00:00,2015-06-30 14:00:00,1,3,2,4,45,24,14,8
182,2015-07-01,2015-07-01 09:00:00,2015-07-01 14:00:00,1,3,2,4,45,24,14,8
183,2015-07-02,2015-07-02 09:00:00,2015-07-02 14:00:00,1,3,2,4,45,24,14,8
184,2015-07-03,2015-07-03 09:00:00,2015-07-03 14:00:00,1,3,2,4,45,24,14,8
185,2015-07-04,2015-07-04 09:00:00,2015-07-04 14:00:00,1,3,2,4,45,24,14,8
186,2015-07-05,2015-07-05 09:00:00,2015-07-05 14:00:00,1,3,2,4,45,24,14,8
187,2015-07-06,2015-07-06 09:00:00,2015-07-06 14:00:00,1,3,2,4,45,24,14,8
188,2015-07-07,2015-07-07 09:00:00,2015-07-07 14:00:00,1,3,2,4,45,24,14,8
189,2015-07-08,2015-07-08 09:00:00,2015-07-08 14:00:00,1,3,2,4,45,24,14,8
190,2015-07-09,2015-07-09 09:00:00,2015-07-09 14:00:00,1,3,2,4,45,24,14,8
191,2015-07-10,2015-07-10 09:00:00,2015-07-10 14:00:00,1,3,2,4,45,24,14,8
192,2015-07-11,2015-07-11 09:00:00,2015-07-11 14:00:00,1,3,2,4,45,24,14,8
193,2015-07-12,2015-07-12 09:00:00,2015-07-12 14:00:00,1,3,2,4,45,24,14,8
194,2015-07-13,2015-07-13 09:00:00,2015-07-13 14:00:00,1,3,2,4,45,24,14,8
195,2015-07-14,2015-07-14 09:00:00,2015-07-14 14:00:00,1,3,2,4,45,24,14,8
196,2015-07-15,2015-07-15 09:00:00,2015-07-15 14:00:00,1,3,2,4,45,24,14,8
197,2015-07-16,2015-07-16 09:00:00,2015-07-16 14:00:00,1,3,2,4,45,10,3,2
198,2015-07-17,2015-07-17 09:00:00,2015-07-17 14:00:00,1,3,2,4,45,12,5,3
199,2015-07-18,2015-07-18 09:00:00,2015-07-18 14:00:00,1,3,2,4,45,24,14,8
200,2015-07-19,2015-07-19 09:00:00,2015-07-19 14:00:00,1,3,2,4,45,24,14,8
201,2015-07-20,2015-07-20 09:00:00,2015-07-20 14:00:00,1,3,2,4,45,6,0,0
202,2015-07-21,2015-07-21 09:00:00,2015-07-21 14:00:00,1,3,2,4,45,22,13,7
203,2015-07-22,2015-07-22 09:00:00,2015-07-22 14:00:00,1,3,2,4,45,34,22,13
204,2015-07-23,2015-07-23 09:00:00,2015-07-23 14:00:00,1,3,2,4,45,37,25,14
205,2015-07-24,2015-07-24 09:00:00,2015-07-24 14:00:00,1,3,2,4,45,24,14,8
206,2015-07-25,2015-07-25 09:00:00,2015-07-25 14:00:00,1,3,2,4,45,24,14,8
207,2015-07-26,2015-07-26 09:00:00,2015-07-26 14:00:00,1,3,2,4,45,18,10,6
208,2015-07-27,2015-07-27 09:00:00,2015-07-27 14:00:00,1,3,2,4,45,12,5,3
209,2015-07-28,2015-07-28 09:00:00,2015-07-28 14:00:00,1,3,2,4,45,24,14,8
210,2015-07-29,2015-07-29 09:00:00,2015-07-29 14:00:00,1,3,2,4,45,24,14,8
211,2015-07-30,2015-07-30 09:00:00,2015-07-30 14:00:00,1,3,2,4,45,24,14,8
212,2015-07-31,2015-07-31 09:00:00,2015-07-31 14:00:00,1,3,2,4,45,24,14,8
213,2015-08-01,2015-08-01 09:00:00,2015-08-01 14:00:00,1,3,2,4,45,24,14,8
214,2015-08-02,2015-08-02 09:00:00,2015-08-02 14:00:00,1,3,2,4,45,24,14,8
215,2015-08-03,2015-08-03 09:00:00,2015-08-03 14:00:00,1,3,2,4,45,25,15,9
216,2015-08-04,2015-08-04 09:00:00,2015-08-04 14:00:00,1,3,2,4,45,47,33,19
217,2015-08-05,2015-08-05 09:00:00,2015-08-05 14:00:00,1,3,2,4,45,24,14,8
218,2015-08-06,2015-08-06 09:00:00,2015-08-06 14:00:00,1,3,2,4,45,24,14,8
219,2015-08-07,2015-08-07 09:00:00,2015-08-07 14:00:00,1,3,2,4,45,24,14,8
220,2015-08-08,2015-08-08 09:00:00,2015-08-08 14:00:00,1,3,2,4,45,24,14,8
221,2015-08-09,2015-08-09 09:00:00,2015-08-09 14:00:00,1,3,2,4,45,24,14,8
222,2015-08-10,2015-08-10 09:00:00,2015-08-10 14:00:00,1,3,2,4,45,24,14,8
223,2015-08-11,2015-08-11 09:00:00,2015-08-11 14:00:00,1,3,2,4,45,24,14,8
224,2015-08-12,2015-08-12 09:00:00,2015-08-12 14:00:00,1,3,2,4,45,24,14,8
225,2015-08-13,2015-08-13 09:00:00,2015-08-13 14:00:00,1,3,2,4,45,24,14,8
226,2015-08-14,2015-08-14 09:00:00,2015-08-14 14:00:00,1,3,2,4,45,24,14,8
227,2015-08-15,2015-08-15 09:00:00,2015-08-15 14:00:00,1,3,2,4,45,24,14,8
228,2015-08-16,2015-08-16 09:00:00,2015-08-16 14:00:00,1,3,2,4,45,24,14,8
229,2015-08-17,2015-08-17 09:00:00,2015-08-17 14:00:00,1,3,2,4,45,24,14,8
230,2015-08-18,2015-08-18 09:00:00,2015-08-18 14:00:00,1,3,2,4,45,24,14,8
231,2015-08-19,2015-08-19 09:00:00,2015-08-19 14:00:00,1,3,2,4,45,24,14,8
232,2015-08-20,2015-08-20 09:00:00,2015-08-20 14:00:00,1,3,2,4,45,24,14,8
233,2015-08-21,2015-08-21 09:00:00,2015-08-21 14:00:00,1,3,2,4,45,24,14,8
234,2015-08-22,2015-08-22 09:00:00,2015-08-22 14:00:00,1,3,2,4,45,24,14,8
235,2015-08-23,2015-08-23 09:00:00,2015-08-23 14:00:00,1,3,2,4,45,24,14,8
236,2015-08-24,2015-08-24 09:00:00,2015-08-24 14:00:00,1,3,2,4,45,24,14,8
237,2015-08-25,2015-08-25 09:00:00,2015-08-25 14:00:00,1,3,2,4,45,24,14,8
238,2015-08-26,2015-08-26 09:00:00,2015-08-26 14:00:00,1,3,2,4,45,24,14,8
239,2015-08-27,2015-08-27 09:00:00,2015-08-27 14:00:00,1,3,2,4,45,24,14,8
240,2015-08-28,2015-08-28 09:00:00,2015-08-28 14:00:00,1,3,2,4,45,24,14,8
241,2015-08-29,2015-08-29 09:00:00,2015-08-29 14:00:00,1,3,2,4,45,24,14,8
242,2015-08-30,2015-08-30 09:00:00,2015-08-30 14:00:00,1,3,2,4,45,24,14,8
243,2015-08-31,2015-08-31 09:00:00,2015-08-31 14:00:00,1,3,2,4,45,24,14,8
244,2015-09-01,2015-09-01 09:00:00,2015-09-01 14:00:00,1,3,2,4,45,24,14,8
245,2015-09-02,2015-09-02 09:00:00,2015-09-02 14:00:00,1,3,2,4,45,24,14,8
246,2015-09-03,2015-09-03 09:00:00,2015-09-03 14:00:00,1,3,2,4,45,24,14,8
247,2015-09-04,2015-09-04 09:00:00,2015-09-04 14:00:00,1,3,2,4,45,24,14,8
248,2015-09-05,2015-09-05 09:00:00,2015-09-05 14:00:00,1,3,2,4,45,24,14,8
249,2015-09-06,2015-09-06 09:00:00,2015-09-06 14:00:00,1,3,2,4,45,24,14,8
250,2015-09-07,2015-09-07 09:00:00,2015-09-07 14:00:00,1,3,2,4,45,24,14,8
251,2015-09-08,2015-09-08 09:00:00,2015-09-08 14:00:00,1,3,2,4,45,24,14,8
252,2015-09-09,2015-09-09 09:00:00,2015-09-09 14:00:00,1,3,2,4,45,24,14,8
253,2015-09-10,2015-09-10 09:00:00,2015-09-10 14:00:00,1,3,2,4,45,24,14,8
254,2015-09-11,2015-09-11 09:00:00,2015-09-11 14:00:00,1,3,2,4,45,24,14,8
255,2015-09-12,2015-09-12 09:00:00,2015-09-12 14:00:00,1,3,2,4,45,24,14,8
256,2015-09-13,2015-09-13 09:00:00,2015-09-13 14:00:00,1,3,2,4,45,24,14,8
257,2015-09-14,2015-09-14 09:00:00,2015-09-14 14:00:00,1,3,2,4,45,24,14,8
258,2015-09-15,2015-09-15 09:00:00,2015-09-15 14:00:00,1,3,2,4,45,24,14,8
259,2015-09-16,2015-09-16 09:00:00,2015-09-16 14:00:00,1,3,2,4,45,24,14,8
260,2015-09-17,2015-09-17 09:00:00,2015-09-17 14:00:00,1,3,2,4,45,24,14,8
261,2015-09-18,2015-09-18 09:00:00,2015-09-18 14:00:00,1,3,2,4,45,24,14,8
262,2015-09-19,2015-09-19 09:00:00,2015-09-19 14:00:00,1,3,2,4,45,24,14,8
263,2015-09-20,2015-09-20 09:00:00,2015-09-20 14:00:00,1,3,2,4,45,24,14,8
264,2015-09-21,2015-09-21 09:00:00,2015-09-21 14:00:00,1,3,2,4,45,24,14,8
265,2015-09-22,2015-09-22 09:00:00,2015-09-22 14:00:00,1,3,2,4,45,24,14,8
266,2015-09-23,2015-09-23 09:00:00,2015-09-23 14:00:00,1,3,2,4,45,24,14,8
267,2015-09-24,2015-09-24 09:00:00,2015-09-24 14:00:00,1,3,2,4,45,24,14,8
268,2015-09-25,2015-09-25 09:00:00,2015-09-25 14:00:00,1,3,2,4,45,24,14,8
269,2015-09-26,2015-09-26 09:00:00,2015-09-26 14:00:00,1,3,2,4,45,24,14,8
270,2015-09-27,2015-09-27 09:00:00,2015-09-27 14:00:00,1,3,2,4,45,24,14,8
