SessionDate,NumberInvited,NumberAttended,Numberof Donations,TotalBloodCollected,VenueLong,VenueLat,SurfaceTemperatureCelsius,RelativeHumidityPercent,SurfaceAirpressureKiloPascals,CloudCoveragePercent,ApparentTemperatureCelsius,WindSpeedKph,PrecipitationPreviousHourCentimeters,HeatIndexCelsius,SnowfallCentimeters,SurfaceWindGustsKph
2017-03-01,115,78,58,33,-2.2426,53.4808,17.8,70,99.2,89,17.8,20.2,0,17.8,0,41.7
2016-04-06,200,144,110,63,-1.5491,53.8008,12.3,92,97.4,100,12.3,9.8,0.017,12.3,0,48
2016-04-06,200,144,110,63,-1.5491,53.8008,13.3,88,97.4,100,13.3,7.7,0,13.3,0,45.2
2017-01-20,30,12,5,3,-2.2426,53.4808,11.2,86,100.3,100,11.2,17.3,0.00254,11.2,0,34.6
2016-10-31,35,20,11,6,-0.0879,51.4992,9.4,89,101,100,7.6,12.2,0.00254,9.4,0,27.8
2016-10-31,35,20,11,6,-0.0879,51.4992,9.9,88,101,100,8.1,12.5,0.00254,9.9,0,28.4
2016-11-03,35,20,11,6,-1.8904,52.4862,13.4,73,99,30,13.4,8.2,0.023,13.4,0,41.2
2016-11-03,35,20,11,6,-1.8904,52.4862,14.2,66,99,27,14.2,8,0.016,14.2,0,40.8
2017-02-23,30,12,5,3,-1.5197,52.4068,12.2,75,99.2,96,12.2,19.3,0.022,12.2,0,38.7
2017-02-23,30,12,5,3,-1.5197,52.4068,11.6,85,99.2,94,11.6,18.7,0.059,11.6,0,37.3
2016-03-05,200,144,110,63,-2.2426,53.4808,10,84,99.4,96,9.8,5,0.00254,10,0,21.8
2016-03-05,200,144,110,63,-2.2426,53.4808,12,75,99.3,78,12,3.2,0,12,0,24.5
2016-06-04,50,23,14,8,-1.5197,52.4068,2.7,100,98.1,100,-1.5,17.8,0.103,2.7,0,33.2
2015-07-29,35,20,11,6,-0.0879,51.4992,19.7,57,100.6,25,19.7,14.9,0.022,19.7,0,43.7
2015-07-29,35,20,11,6,-0.0879,51.4992,19.6,61,100.6,60,19.6,17.8,0.054,19.6,0,48.9
2017-06-20,115,78,58,33,-0.0558,51.5176,15.2,89,99.1,100,15.2,14.6,0.028,15.2,0,50.8
2017-06-20,115,78,58,33,-0.0558,51.5176,15.9,86,99.1,90,15.9,16.8,0.033,15.9,0,60.1
2015-10-03,40,34,22,13,-1.8904,52.4862,19.2,58,99.9,0,19.2,6.5,0,19.2,0,21.5
2015-10-03,40,34,22,13,-1.8904,52.4862,19.5,59,99.8,3,19.5,6,0,19.5,0,21.9
2017-05-08,30,12,5,3,-2.5879,51.4545,14.2,87,100.7,100,14.2,9.9,0.197,14.2,0,24.2
2017-05-08,30,12,5,3,-2.5879,51.4545,14.6,90,100.6,99,14.6,8.1,0.243,14.6,0,24.7
2015-05-16,25,12,5,3,-1.8904,52.4862,12.1,96,97.8,100,12.1,25.6,0.053,12.1,0,50.5
2015-05-16,25,12,5,3,-1.8904,52.4862,12.6,93,97.7,100,12.6,24.6,0.00254,12.6,0,48.7
2015-12-13,45,23,14,8,-2.2426,53.4808,2,100,99.7,100,-0.5,8.3,0.048,2,0,49.5
2017-04-30,35,20,11,6,-1.5197,52.4068,9.5,79,100.2,96,7.1,16.9,0,9.5,0,31.6
2017-04-30,35,20,11,6,-1.5197,52.4068,10.2,79,100.2,100,10.2,15.6,0,10.2,0,29.1
2016-02-02,45,12,5,3,-3.1791,51.4816,12.1,88,101.9,1,12.1,28.7,0,12.1,0,36.3
2016-02-02,45,12,5,3,-3.1791,51.4816,12.1,87,101.9,0,12.1,29.3,0,12.1,0,37
2016-11-27,60,29,18,10,-1.5197,52.4068,12.9,67,100.7,18,12.9,14,0,12.9,0,30.6
2016-11-27,60,29,18,10,-1.5197,52.4068,13.7,64,100.7,19,13.7,14.9,0,13.7,0,32.4
2015-02-10,200,144,110,63,-0.0879,51.4992,10.8,65,101.2,100,10.8,11,0,10.8,0,34.4
2015-02-10,200,144,110,63,-0.0879,51.4992,10.7,66,101.2,100,10.7,10.3,0,10.7,0,33.6
2015-08-25,115,78,58,33,-0.0879,51.4992,12,60,101.2,90,12,18.1,0,12,0,38.4
2015-08-25,115,78,58,33,-0.0879,51.4992,12.3,57,101.2,92,12.3,18,0,12.3,0,38.3
2016-10-22,40,23,14,8,-0.0558,51.5176,5,71,100.3,26,1.1,20.3,0,5,0,39.3
2015-02-23,50,23,14,8,-2.2426,53.4808,10.5,63,101.3,100,10.5,9,0,10.5,0,23.4
2015-02-23,50,23,14,8,-2.2426,53.4808,11.2,61,101.3,99,11.2,8,0,11.2,0,22
2015-05-06,30,12,5,3,-0.0881,51.5413,4.8,86,100.6,95,0.7,21.4,0.048,4.8,0,40.6
2016-01-21,115,78,58,33,-1.5491,53.8008,15.1,90,99.2,93,15.1,20.7,0,15.1,0,58.2
2017-07-04,115,78,58,33,-1.8904,52.4862,14.8,92,98.9,84,14.8,21.5,0.00254,14.8,0,56
2017-07-04,115,78,58,33,-1.8904,52.4862,14.4,93,98.9,95,14.4,23,0.025,14.4,0,58.1
2016-03-01,40,23,14,8,-2.5879,51.4545,13.9,82,101,80,13.9,31.2,0,13.9,0,39.8
2016-03-01,40,23,14,8,-2.5879,51.4545,14,81,100.9,92,14,33,0,14,0,42.2
2016-08-15,18,20,11,6,-1.5491,53.8008,10.9,82,100,21,10.9,15.6,0,10.9,0,49.7
2016-08-15,18,20,11,6,-1.5491,53.8008,11.5,78,100,6,11.5,16.2,0,11.5,0,48.6
2017-06-27,82,67,49,28,-1.8904,52.4862,12,97,98.3,100,12,20.9,0.111,12,0,39.7
2017-06-27,82,67,49,28,-1.8904,52.4862,11.6,97,98.4,100,11.6,22.8,0.106,11.6,0,43.4
2015-07-14,200,144,110,63,-2.5879,51.4545,16.5,92,101.8,61,16.5,16.5,0,16.5,0,22
2015-07-14,200,144,110,63,-2.5879,51.4545,16.2,93,101.8,89,16.2,16.8,0,16.2,0,22.6
2016-09-26,45,23,14,8,-1.5491,53.8008,9.3,93,99.7,100,7.5,11.7,0,9.3,0,27.3
2016-09-26,45,23,14,8,-1.5491,53.8008,9.7,89,99.8,100,7.8,13.5,0,9.7,0,27.8
2015-01-29,50,23,14,8,-0.0879,51.4992,14.9,61,102.6,57,14.9,14,0,14.9,0,30.7
2015-01-29,50,23,14,8,-0.0879,51.4992,15.8,57,102.6,59,15.8,14.8,0,15.8,0,32.1
2016-10-02,50,23,14,8,-0.0881,51.5413,12.9,83,102.8,100,12.9,12,0.00254,12.9,0,27.1
2016-10-02,50,23,14,8,-0.0881,51.5413,13.6,81,102.8,96,13.6,11.2,0,13.6,0,28
2017-03-16,200,144,110,63,-0.0558,51.5176,9.1,93,101.7,100,6.8,14.8,0.047,9.1,0,36.2
2017-06-19,18,20,11,6,-0.0881,51.5413,21.6,71,100,67,21.6,23.7,0,21.6,0,52.9
2017-06-19,18,20,11,6,-0.0881,51.5413,21.5,71,100,53,21.5,23.8,0,21.5,0,53.4
2016-01-26,200,144,110,63,-2.2426,53.4808,8.6,75,99.6,95,5.9,17,0,8.6,0,39.4
2017-07-03,45,24,14,8,-1.8904,52.4862,8.6,89,98.7,98,5.3,23.3,0.022,8.6,0,67.3
2015-07-08,82,67,49,28,-2.5879,51.4545,13.5,78,101.9,100,13.5,28.4,0.00254,13.5,0,41.3
2015-07-08,82,67,49,28,-2.5879,51.4545,13.4,78,102,99,13.4,25.9,0.00254,13.4,0,38.7
2015-02-04,35,20,11,6,-1.5491,53.8008,4,82,99.8,100,0.4,16.3,0,4,0,28.2
2016-12-14,50,40,27,15,-2.2426,53.4808,8.6,91,100.5,98,7.9,5.7,0,8.6,0,27.1
2016-12-14,50,40,27,15,-2.2426,53.4808,9.6,84,100.5,100,9.3,5,0,9.6,0,28.2
2015-03-04,50,23,14,8,-1.8904,52.4862,10.1,97,98.4,100,10.1,6.4,0.116,10.1,0,41.5
2016-12-14,115,78,58,33,-1.5197,52.4068,12.4,95,98.2,100,12.4,24.3,0.044,12.4,0,56.5
2016-12-14,115,78,58,33,-1.5197,52.4068,13.1,93,98.2,100,13.1,24.8,0.00254,13.1,0,56.9
2015-04-14,40,23,14,8,-0.0879,51.4992,8.9,75,101.4,70,6.7,13.9,0,8.9,0,27.9
2015-05-12,200,144,110,63,-0.0879,51.4992,21.8,52,101.4,12,21.8,5.7,0,21.8,0,23
2015-05-12,200,144,110,63,-0.0879,51.4992,22.8,50,101.4,18,22.8,5.6,0,22.8,0,22.4
2015-06-16,30,12,5,3,0.1354,51.5154,11,89,101,100,11,28.9,0.019,11,0,56.7
2015-07-18,115,78,58,33,-1.5197,52.4068,5.3,77,98.7,100,2.2,14.7,0.028,5.3,0,42.7
2015-07-13,45,24,14,8,-2.5879,51.4545,10.4,79,98.4,96,10.4,34.2,0.029,10.4,0,47.3
2017-03-18,50,40,27,15,-0.0879,51.4992,6.8,87,99.8,98,2.4,30.2,0.016,6.8,0,56.6
2016-08-15,15,8,2,1,-1.5491,53.8008,6.9,95,96.5,96,3.3,21.4,0.00254,6.9,0,47.1
2015-05-31,50,23,14,8,0.1354,51.5154,6,78,103.1,1,2.8,16.6,0,6,0,32.3
2017-02-11,30,12,5,3,-1.5197,52.4068,1.1,99,99.1,100,-4.8,27,0.319,1.1,2.2,44.9
2015-05-18,22,18,10,6,-1.5491,53.8008,6,97,99.2,99,3.4,12.5,0.00254,6,0,20.3
2015-10-25,45,27,17,10,-1.8904,52.4862,8.2,81,99.7,98,4.5,26.8,0.00254,8.2,0,55.8
2015-10-25,45,27,17,10,-1.8904,52.4862,8.2,80,99.7,98,4.6,25.9,0.00254,8.2,0,59.3
2016-11-12,50,23,14,8,-0.0879,51.4992,4,55,101.1,47,4,1.5,0,4,0,20.7
2015-06-22,35,20,11,6,-1.5491,53.8008,7.6,90,98.2,0,3.5,29,0,7.6,0,95.9
2017-04-30,30,12,5,3,-1.5197,52.4068,12.5,92,100,100,12.5,21.3,0,12.5,0,53.3
2016-03-18,35,20,11,6,-0.0879,51.4992,11,73,101.8,23,11,26.1,0,11,0,51.2
2015-03-17,45,23,14,8,-2.5879,51.4545,9.3,67,102.8,89,7,15.6,0,9.3,0,19.4
2016-10-09,45,24,14,8,-0.0558,51.5176,12.6,87,101.4,100,12.6,31.8,0.00254,12.6,0,59.3
2017-03-10,45,24,14,8,-2.5879,51.4545,9.1,86,101.1,100,3.8,63.2,0.039,9.1,0,83.5
2015-04-24,25,12,5,3,-2.5879,51.4545,8.4,76,102,100,4,36.6,0,8.4,0,47.1
2016-02-29,30,12,5,3,0.1354,51.5154,2.7,89,101.6,100,-1.7,19.4,0.016,2.7,0.1,36.4
2015-03-05,45,24,14,8,-2.2426,53.4808,8.1,59,99.6,95,5.5,15.3,0,8.1,0,39.4
2017-06-06,82,67,49,28,-1.5491,53.8008,4.7,60,99.5,55,1.9,12,0.00254,4.7,0,34.1
2015-03-25,25,12,5,3,-0.0558,51.5176,7.5,63,102,50,5.4,11.4,0,7.5,0,29.9
2015-01-19,50,23,14,8,-1.5491,53.8008,14,70,99.1,100,14,12.6,0,14,0,24.4
2015-01-19,50,23,14,8,-1.5491,53.8008,15,68,99,90,15,16,0,15,0,31.8
2015-06-15,45,23,14,8,-1.5491,53.8008,7.9,97,99.8,99,3.7,31.6,0.00254,7.9,0,80.1
2016-04-22,35,7,1,1,-0.0881,51.5413,6.9,77,100.3,87,2.9,24.8,0,6.9,0,58.6
2017-01-16,82,67,49,28,-0.0881,51.5413,7.5,69,102.8,0,4.2,20.5,0,7.5,0,42.2
2017-06-18,82,67,49,28,-0.0879,51.4992,9.4,90,99.4,100,5.1,43.3,0.017,9.4,0,80.5
2016-08-25,25,12,5,3,-1.8904,52.4862,8.6,36,98.9,3,6.9,10.7,0,8.6,0,29.2
2016-08-25,25,12,5,3,-1.8904,52.4862,9.4,38,98.9,2,7.7,11.4,0,9.4,0,31.4
2015-10-27,25,27,17,10,-2.2426,53.4808,3,82,98.4,20,-1.7,22.5,0,3,0,71.6
2015-02-22,30,12,5,3,-0.0558,51.5176,13.6,92,99.2,100,13.6,23.5,0,13.6,0,51.1
2015-02-22,30,12,5,3,-0.0558,51.5176,14.2,86,99.2,98,14.2,22.7,0,14.2,0,49.2
2015-04-17,45,24,14,8,-0.0879,51.4992,13,62,99.8,28,13,38.4,0.017,13,0,83
2015-04-17,45,24,14,8,-0.0879,51.4992,13.4,61,99.9,0,13.4,40.2,0.016,13.4,0,86.7
2015-01-14,200,144,110,63,-3.1791,51.4816,10.1,77,101.4,93,10.1,47.2,0,10.1,0,61.2
2015-01-14,200,144,110,63,-3.1791,51.4816,10.2,81,101.4,100,10.2,47.4,0.00254,10.2,0,61.6
2016-01-17,45,23,14,8,-0.0881,51.5413,18.6,63,101.3,100,18.6,13,0,18.6,0,29.3
2016-01-17,45,23,14,8,-0.0881,51.5413,17,69,101.3,100,17,13,0.00254,17,0,28.2
2016-03-19,35,20,11,6,-2.2426,53.4808,17.4,72,98.9,65,17.4,18.5,0,17.4,0,38.2
2016-03-19,35,20,11,6,-2.2426,53.4808,17.5,70,98.8,92,17.5,20.5,0,17.5,0,41.5
2016-06-10,40,23,14,8,-1.8904,52.4862,11,73,100.2,84,11,17.8,0,11,0,36.3
2016-06-10,40,23,14,8,-1.8904,52.4862,11.9,70,100.2,78,11.9,17.9,0,11.9,0,36.7
2016-02-24,200,144,110,63,-0.0881,51.5413,13.4,65,101.3,84,13.4,12.9,0.00254,13.4,0,29.5
2016-02-24,200,144,110,63,-0.0881,51.5413,12.9,69,101.3,100,12.9,12.1,0,12.9,0,26.9
2016-06-11,200,144,110,63,0.1354,51.5154,20.1,39,101.1,55,20.1,10.2,0,20.1,0,24.7
2016-06-11,200,144,110,63,0.1354,51.5154,21.2,40,101.1,50,21.2,7.2,0,21.2,0,20.2
2016-06-14,30,12,5,3,-1.5491,53.8008,7.5,94,98.2,100,3.8,24.6,0.00254,7.5,0,79.5
2016-06-14,30,12,5,3,-1.5491,53.8008,7.5,88,98.2,100,3.7,25.5,0.00254,7.5,0,80.7
2015-09-11,200,144,110,63,0.1354,51.5154,4.7,87,97.8,100,-1.4,45.5,0.00254,4.7,0,92.6
2015-09-11,200,144,110,63,0.1354,51.5154,5.3,83,98.2,100,-0.2,39.1,0.014,5.3,0,79.6
2017-07-01,35,20,11,6,-0.0558,51.5176,14.1,62,102.5,44,14.1,6.1,0,14.1,0,24.6
2017-07-01,35,20,11,6,-0.0558,51.5176,15.9,55,102.5,5,15.9,6.3,0,15.9,0,25.7
2015-04-03,50,23,14,8,-2.2426,53.4808,5.9,94,98.6,100,2.2,20.3,0.046,5.9,0,36.4
2017-04-13,60,55,39,22,-1.5491,53.8008,16.6,96,97.9,98,16.6,20.3,0.067,16.6,0,49.2
2017-04-13,60,55,39,22,-1.5491,53.8008,16.3,96,97.9,99,16.3,21.8,0.064,16.3,0,59.6
2015-03-13,25,12,5,3,-2.5879,51.4545,17.4,86,102.4,5,17.4,12.4,0,17.4,0,25
2015-03-13,25,12,5,3,-2.5879,51.4545,17.4,84,102.4,0,17.4,14.2,0,17.4,0,25.5
2015-07-30,40,15,7,4,-3.1791,51.4816,13.6,82,101.5,96,13.6,32.1,0.028,13.6,0,40.9
2015-07-30,40,15,7,4,-3.1791,51.4816,13.3,87,101.5,99,13.3,34.9,0.028,13.3,0,44.6
2016-07-09,25,8,2,1,-1.5491,53.8008,14.1,88,99.2,100,14.1,23.8,0.00254,14.1,0,52.1
2016-07-09,25,8,2,1,-1.5491,53.8008,14.6,85,99.2,100,14.6,24.3,0.00254,14.6,0,56.8
2016-08-13,45,24,14,8,-0.0558,51.5176,6.7,63,100.4,98,3.2,20.1,0,6.7,0,46.6
2016-08-13,45,24,14,8,-0.0558,51.5176,7.8,60,100.3,99,4.5,21.5,0,7.8,0,46.4
2016-10-07,45,23,14,8,-3.1791,51.4816,10.9,73,102.4,71,10.9,47.2,0,10.9,0,61.2
2016-10-07,45,23,14,8,-3.1791,51.4816,11,72,102.3,84,11,48.1,0,11,0,62.5
2016-08-15,115,78,58,33,-1.5491,53.8008,21.7,82,100,99,21.7,12.7,0,21.7,0,46.8
2016-08-15,115,78,58,33,-1.5491,53.8008,21.7,80,100,99,21.7,12.3,0,21.7,0,48
2016-02-21,35,12,5,3,-1.8904,52.4862,11,95,97.9,100,11,17.9,0.08,11,0,35.9
2016-02-21,35,12,5,3,-1.8904,52.4862,10.9,95,97.9,100,10.9,14.5,0.063,10.9,0,29
2016-03-20,82,67,49,28,-0.0879,51.4992,3.4,82,100.1,65,-1.2,21.8,0,3.4,0,40.4
2015-10-15,45,23,14,8,-2.2426,53.4808,16.2,90,99.8,97,16.2,2.8,0,16.2,0,35.2
2015-10-15,45,23,14,8,-2.2426,53.4808,17.6,88,99.8,99,17.6,2.9,0.00254,17.6,0,35.8
2016-07-02,30,12,5,3,-1.5491,53.8008,17.3,66,99.9,12,17.3,8.3,0,17.3,0,31.2
2016-07-02,30,12,5,3,-1.5491,53.8008,17.6,67,99.8,8,17.6,9.4,0,17.6,0,37.7
2015-02-03,30,12,5,3,-1.8904,52.4862,10.9,69,100.5,73,10.9,15.7,0,10.9,0,51.5
2015-02-03,30,12,5,3,-1.8904,52.4862,10.8,70,100.5,96,10.8,12.3,0,10.8,0,45.8
2017-03-08,115,78,58,33,-1.5197,52.4068,10.7,80,100.4,97,10.7,19.5,0,10.7,0,53.3
2017-03-08,115,78,58,33,-1.5197,52.4068,10.6,81,100.3,98,10.6,17.4,0.00254,10.6,0,49.4
2015-09-06,25,17,9,5,-1.8904,52.4862,11.6,82,99.9,100,11.6,20,0,11.6,0,47.3
2015-09-06,25,17,9,5,-1.8904,52.4862,11.7,82,99.9,100,11.7,19.9,0.00254,11.7,0,49.1
2015-07-01,200,144,110,63,-1.5197,52.4068,12,81,99.6,100,12,17.2,0.00254,12,0,55.3
2015-07-01,200,144,110,63,-1.5197,52.4068,12.7,83,99.6,100,12.7,18.6,0.017,12.7,0,52.2
2015-10-03,25,22,13,7,-3.1791,51.4816,14.5,88,100.4,100,14.5,49.6,0.079,14.5,0,64.5
2017-04-15,35,20,11,6,0.1354,51.5154,9.5,70,99.5,27,6.1,27,0,9.5,0,52.8
2015-12-16,115,78,58,33,-0.0558,51.5176,14.9,84,100.3,99,14.9,11.5,0,14.9,0,27.4
2015-12-16,115,78,58,33,-0.0558,51.5176,16.5,78,100.2,82,16.5,12.5,0,16.5,0,30.5
2016-08-17,50,23,14,8,-2.2426,53.4808,4.2,90,99.6,98,-0.7,26.9,0.00254,4.2,0,77.8
2016-01-19,30,12,5,3,0.1354,51.5154,23,75,101.6,29,23,6.4,0.022,23,0,40.7
2016-01-19,30,12,5,3,0.1354,51.5154,24.3,72,101.6,28,24.3,6.5,0.038,24.3,0,49
2016-10-21,30,12,5,3,-1.8904,52.4862,2.6,91,97.6,98,-2.4,24.1,0.00254,2.6,0.1,74.9
2015-11-27,115,78,58,33,-0.0881,51.5413,10.5,67,101.4,94,10.5,30.8,0.00254,10.5,0,67.4
2015-06-08,45,24,14,8,-3.1791,51.4816,13.9,90,101.4,100,13.9,40.7,0.00254,13.9,0,52.3
2016-03-21,115,78,58,33,-2.5879,51.4545,15.3,89,100.7,100,15.3,43.3,0.072,15.3,0,55.9
2016-03-21,115,78,58,33,-2.5879,51.4545,15.2,86,100.7,100,15.2,44.4,0.014,15.2,0,57.5
2015-10-24,50,23,14,8,-1.8904,52.4862,11.5,85,100.7,100,11.5,5.6,0,11.5,0,19.2
2016-11-03,45,23,14,8,-1.8904,52.4862,14.8,74,100.4,21,14.8,6.5,0,14.8,0,24.6
2016-01-08,50,23,22,13,-1.5197,52.4068,13,79,99,98,13,16.6,0,13,0,47.3
2016-01-08,50,23,22,13,-1.5197,52.4068,14,73,99.1,82,14,17,0,14,0,48.6
2015-10-17,25,25,15,9,-0.0558,51.5176,16.9,90,101.1,97,16.9,11.4,0.029,16.9,0,45
2015-10-17,25,25,15,9,-0.0558,51.5176,17.2,88,101.2,99,17.2,11,0.023,17.2,0,45.1
2017-03-28,30,12,5,3,-3.1791,51.4816,14.3,83,102.2,98,14.3,25.9,0,14.3,0,32.8
2015-09-02,82,67,49,28,0.1354,51.5154,6.1,95,99,97,2.8,17.8,0.014,6.1,0,35.5
2016-02-11,45,27,17,10,-1.8904,52.4862,11.3,92,100.1,90,11.3,12.7,0,11.3,0,26.4
2016-02-11,45,27,17,10,-1.8904,52.4862,12.9,86,100.1,88,12.9,15.1,0,12.9,0,31
2015-05-07,82,67,49,28,-3.1791,51.4816,8.9,72,100.3,98,4.8,36,0.031,8.9,0,52
2016-01-17,45,27,17,10,-0.0881,51.5413,11.9,92,98.7,99,11.9,20.3,0.00254,11.9,0,47.8
2016-01-17,45,27,17,10,-0.0881,51.5413,12.6,90,98.8,98,12.6,19.8,0,12.6,0,46.5
2017-07-21,30,12,5,3,-1.5197,52.4068,5.8,93,99.2,99,3.6,10,0.00254,5.8,0,38.5
2016-06-02,35,20,11,6,-1.5491,53.8008,10.3,92,100.2,5,10.3,5.6,0,10.3,0,16.2
2016-06-02,35,20,11,6,-1.5491,53.8008,12.3,86,100.2,4,12.3,5.8,0,12.3,0,17.7
2016-12-21,0,0,0,0,-2.2426,53.4808,5.5,92,100.3,100,1.5,22,0.00254,5.5,0,36.3
2015-11-27,82,67,49,28,-0.0881,51.5413,22.5,55,100.8,74,22.5,9.9,0,22.5,0,25.9
2015-11-27,82,67,49,28,-0.0881,51.5413,23.2,50,100.7,60,23.2,12,0,23.2,0,30.6
2015-02-16,45,23,14,8,-0.0879,51.4992,13.6,69,100.1,16,13.6,15,0.033,13.6,0,47.5
2015-02-16,45,23,14,8,-0.0879,51.4992,13.1,72,100.1,0,13.1,15.7,0.041,13.1,0,54.2
2017-04-21,45,24,14,8,-0.0879,51.4992,3.9,88,102.9,95,-0.3,20,0.00254,3.9,0,37.8
2017-03-24,45,24,14,8,-0.0879,51.4992,16.2,63,101.8,81,16.2,20.1,0,16.2,0,44
2017-03-24,45,24,14,8,-0.0879,51.4992,16.2,62,101.7,60,16.2,20.7,0,16.2,0,44.5
