AttendanceEventId,AttendeeId,SessionId,VenueId,AttendanceDate,AttendanceStartTime,AttendanceEndTime,EventCost
157,16,4587,5,2015-06-06,2015-06-06 10:00:00,2015-06-06 11:00:00,8.08
158,15,976,9,2015-06-07,2015-06-07 10:00:00,2015-06-07 11:00:00,8.11
159,8,3163,4,2015-06-08,2015-06-08 10:00:00,2015-06-08 11:00:00,1.09
160,13,2381,7,2015-06-09,2015-06-09 10:00:00,2015-06-09 11:00:00,2.8
161,10,6028,5,2015-06-10,2015-06-10 10:00:00,2015-06-10 11:00:00,5.92
162,9,1368,8,2015-06-11,2015-06-11 10:00:00,2015-06-11 11:00:00,3.14
163,11,7124,8,2015-06-12,2015-06-12 10:00:00,2015-06-12 11:00:00,4.97
164,7,236,4,2015-06-13,2015-06-13 10:00:00,2015-06-13 11:00:00,7.98
165,13,1884,4,2015-06-14,2015-06-14 10:00:00,2015-06-14 11:00:00,4.63
166,10,1179,3,2015-06-15,2015-06-15 10:00:00,2015-06-15 11:00:00,1.45
167,9,5323,10,2015-06-16,2015-06-16 10:00:00,2015-06-16 11:00:00,1.27
168,15,3653,4,2015-06-17,2015-06-17 09:00:00,2015-06-17 10:00:00,6.88
169,3,833,1,2015-06-18,2015-06-18 09:00:00,2015-06-18 10:00:00,3.23
170,9,6959,7,2015-06-19,2015-06-19 09:00:00,2015-06-19 10:00:00,8.26
171,3,5802,9,2015-06-20,2015-06-20 09:00:00,2015-06-20 10:00:00,6.69
172,5,2559,1,2015-06-21,2015-06-21 09:00:00,2015-06-21 10:00:00,7.83
173,9,4393,4,2015-06-22,2015-06-22 09:00:00,2015-06-22 10:00:00,5.07
174,4,5198,5,2015-06-23,2015-06-23 09:00:00,2015-06-23 10:00:00,4.06
175,5,2884,1,2015-06-24,2015-06-24 09:00:00,2015-06-24 10:00:00,6.33
176,12,5863,4,2015-06-25,2015-06-25 09:00:00,2015-06-25 10:00:00,4.39
177,8,1052,6,2015-06-26,2015-06-26 09:00:00,2015-06-26 10:00:00,6.49
178,2,6116,9,2015-06-27,2015-06-27 09:00:00,2015-06-27 10:00:00,3.21
179,3,8783,6,2015-06-28,2015-06-28 09:00:00,2015-06-28 10:00:00,5.14
180,5,2838,5,2015-06-29,2015-06-29 09:00:00,2015-06-29 10:00:00,3.98
181,4,7889,6,2015-06-30,2015-06-30 09:00:00,2015-06-30 10:00:00,7.56
182,17,437,9,2015-07-01,2015-07-01 09:00:00,2015-07-01 10:00:00,7.99
183,19,6444,1,2015-07-02,2015-07-02 09:00:00,2015-07-02 10:00:00,1.8
184,19,8809,6,2015-07-03,2015-07-03 09:00:00,2015-07-03 10:00:00,4.99
185,8,1930,7,2015-07-04,2015-07-04 09:00:00,2015-07-04 10:00:00,5.43
186,10,3791,7,2015-07-05,2015-07-05 09:00:00,2015-07-05 10:00:00,8.63
187,19,4621,10,2015-07-06,2015-07-06 09:00:00,2015-07-06 10:00:00,7.23
188,19,6408,1,2015-07-07,2015-07-07 09:00:00,2015-07-07 10:00:00,2.75
189,7,8354,4,2015-07-08,2015-07-08 09:00:00,2015-07-08 10:00:00,1.64
190,18,6258,7,2015-07-09,2015-07-09 09:00:00,2015-07-09 10:00:00,7.23
191,16,5731,7,2015-07-10,2015-07-10 09:00:00,2015-07-10 10:00:00,2.19
192,7,4138,4,2015-07-11,2015-07-11 09:00:00,2015-07-11 10:00:00,4.78
193,13,7583,7,2015-07-12,2015-07-12 09:00:00,2015-07-12 10:00:00,2.99
194,7,2450,5,2015-07-13,2015-07-13 09:00:00,2015-07-13 10:00:00,8.02
195,10,872,10,2015-07-14,2015-07-14 09:00:00,2015-07-14 10:00:00,2.46
196,16,4997,9,2015-07-15,2015-07-15 09:00:00,2015-07-15 10:00:00,5.01
197,6,5311,4,2015-07-16,2015-07-16 09:00:00,2015-07-16 10:00:00,3.94
198,12,515,2,2015-07-17,2015-07-17 09:00:00,2015-07-17 10:00:00,6.18
199,6,8106,2,2015-07-18,2015-07-18 09:00:00,2015-07-18 10:00:00,2.78
200,14,2300,1,2015-07-19,2015-07-19 09:00:00,2015-07-19 10:00:00,3.97
201,20,3992,2,2015-07-20,2015-07-20 09:00:00,2015-07-20 10:00:00,3.9
202,16,8523,7,2015-07-21,2015-07-21 09:00:00,2015-07-21 10:00:00,3.06
203,7,1035,3,2015-07-22,2015-07-22 09:00:00,2015-07-22 10:00:00,7.12
204,17,1598,10,2015-07-23,2015-07-23 09:00:00,2015-07-23 10:00:00,5.42
205,8,217,9,2015-07-24,2015-07-24 09:00:00,2015-07-24 10:00:00,5.06
206,9,8707,9,2015-07-25,2015-07-25 09:00:00,2015-07-25 10:00:00,1.75
207,11,4508,5,2015-07-26,2015-07-26 09:00:00,2015-07-26 10:00:00,7.37
208,2,66,2,2015-07-27,2015-07-27 09:00:00,2015-07-27 10:00:00,5.69
209,19,6301,2,2015-07-28,2015-07-28 09:00:00,2015-07-28 10:00:00,8.53
210,1,1345,7,2015-07-29,2015-07-29 09:00:00,2015-07-29 10:00:00,3.53
211,18,8181,7,2015-07-30,2015-07-30 11:00:00,2015-07-30 12:00:00,8.98
212,17,2816,5,2015-07-31,2015-07-31 11:00:00,2015-07-31 12:00:00,3.28
213,15,8235,8,2015-08-01,2015-08-01 11:00:00,2015-08-01 12:00:00,6.16
214,16,4828,6,2015-08-02,2015-08-02 11:00:00,2015-08-02 12:00:00,6.49
215,12,5504,4,2015-08-03,2015-08-03 11:00:00,2015-08-03 12:00:00,3.04
216,9,3112,2,2015-08-04,2015-08-04 11:00:00,2015-08-04 12:00:00,2.78
217,19,874,2,2015-08-05,2015-08-05 11:00:00,2015-08-05 12:00:00,1.09
218,3,400,6,2015-08-06,2015-08-06 11:00:00,2015-08-06 12:00:00,7.14
219,13,4735,5,2015-08-07,2015-08-07 11:00:00,2015-08-07 12:00:00,4.66
220,3,7495,9,2015-08-08,2015-08-08 11:00:00,2015-08-08 12:00:00,1.34
221,3,2028,2,2015-08-09,2015-08-09 11:00:00,2015-08-09 12:00:00,6.52
222,7,4426,3,2015-08-10,2015-08-10 11:00:00,2015-08-10 12:00:00,1.09
223,4,2486,9,2015-08-11,2015-08-11 11:00:00,2015-08-11 12:00:00,6.72
224,12,6987,3,2015-08-12,2015-08-12 11:00:00,2015-08-12 12:00:00,8.91
225,17,8635,9,2015-08-13,2015-08-13 11:00:00,2015-08-13 12:00:00,1.69
226,12,2093,9,2015-08-14,2015-08-14 11:00:00,2015-08-14 12:00:00,7.77
227,18,8403,4,2015-08-15,2015-08-15 11:00:00,2015-08-15 12:00:00,7.73
228,6,4111,8,2015-08-16,2015-08-16 11:00:00,2015-08-16 12:00:00,3.19
229,13,5819,2,2015-08-17,2015-08-17 11:00:00,2015-08-17 12:00:00,6.85
230,8,2085,1,2015-08-18,2015-08-18 11:00:00,2015-08-18 12:00:00,6.27
231,2,7122,9,2015-08-19,2015-08-19 11:00:00,2015-08-19 12:00:00,2.04
232,16,1379,3,2015-08-20,2015-08-20 11:00:00,2015-08-20 12:00:00,3.78
233,5,3477,8,2015-08-21,2015-08-21 11:00:00,2015-08-21 12:00:00,1.14
234,1,2605,2,2015-08-22,2015-08-22 11:00:00,2015-08-22 12:00:00,6.4
235,12,4830,3,2015-08-23,2015-08-23 11:00:00,2015-08-23 12:00:00,3.5
236,14,7398,2,2015-08-24,2015-08-24 11:00:00,2015-08-24 12:00:00,6.53
237,17,7276,5,2015-08-25,2015-08-25 11:00:00,2015-08-25 12:00:00,2.1
238,4,5046,4,2015-08-26,2015-08-26 11:00:00,2015-08-26 12:00:00,3.65
239,5,1156,4,2015-08-27,2015-08-27 11:00:00,2015-08-27 12:00:00,1.88
240,10,7768,8,2015-08-28,2015-08-28 11:00:00,2015-08-28 12:00:00,6.79
241,20,9286,3,2015-08-29,2015-08-29 11:00:00,2015-08-29 12:00:00,2.8
242,11,2358,6,2015-08-30,2015-08-30 11:00:00,2015-08-30 12:00:00,6.96
243,19,1666,7,2015-08-31,2015-08-31 11:00:00,2015-08-31 12:00:00,6.55
244,6,1842,6,2015-09-01,2015-09-01 11:00:00,2015-09-01 12:00:00,1.63
245,12,3774,5,2015-09-02,2015-09-02 11:00:00,2015-09-02 12:00:00,7.46
246,9,7734,3,2015-09-03,2015-09-03 11:00:00,2015-09-03 12:00:00,8.69
247,19,4764,5,2015-09-04,2015-09-04 11:00:00,2015-09-04 12:00:00,2.9
248,19,7834,4,2015-09-05,2015-09-05 11:00:00,2015-09-05 12:00:00,8.44
249,18,3419,8,2015-09-06,2015-09-06 11:00:00,2015-09-06 12:00:00,4.26
250,2,5625,3,2015-09-07,2015-09-07 11:00:00,2015-09-07 12:00:00,1.82
251,17,5494,2,2015-09-08,2015-09-08 11:00:00,2015-09-08 12:00:00,2.6
252,5,6923,6,2015-09-09,2015-09-09 11:00:00,2015-09-09 12:00:00,5.18
253,3,4568,2,2015-09-10,2015-09-10 11:00:00,2015-09-10 12:00:00,8.57
254,18,9068,2,2015-09-11,2015-09-11 11:00:00,2015-09-11 12:00:00,7.95
255,15,7399,3,2015-09-12,2015-09-12 11:00:00,2015-09-12 12:00:00,8.75
256,18,8455,10,2015-09-13,2015-09-13 11:00:00,2015-09-13 12:00:00,6.21
257,19,3454,2,2015-09-14,2015-09-14 11:00:00,2015-09-14 12:00:00,7.21
258,3,6026,7,2015-09-15,2015-09-15 11:00:00,2015-09-15 12:00:00,5.88
259,1,5643,9,2015-09-16,2015-09-16 11:00:00,2015-09-16 12:00:00,1.2
260,15,7838,4,2015-09-17,2015-09-17 11:00:00,2015-09-17 12:00:00,3.02
261,4,7514,2,2015-09-18,2015-09-18 11:00:00,2015-09-18 12:00:00,4.26
262,6,6017,5,2015-09-19,2015-09-19 11:00:00,2015-09-19 12:00:00,8.49
263,8,5003,3,2015-09-20,2015-09-20 11:00:00,2015-09-20 12:00:00,4.57
264,9,6360,7,2015-09-21,2015-09-21 11:00:00,2015-09-21 12:00:00,1.05
265,8,1358,3,2015-09-22,2015-09-22 11:00:00,2015-09-22 12:00:00,8.83
266,11,1057,7,2015-09-23,2015-09-23 11:00:00,2015-09-23 12:00:00,2.33
267,2,8779,9,2015-09-24,2015-09-24 11:00:00,2015-09-24 12:00:00,6.73
268,18,2565,5,2015-09-25,2015-09-25 11:00:00,2015-09-25 12:00:00,2.88
269,14,5046,2,2015-09-26,2015-09-26 11:00:00,2015-09-26 12:00:00,6.73
270,3,1948,6,2015-09-27,2015-09-27 11:00:00,2015-09-27 12:00:00,4.52
271,11,8490,7,2015-09-28,2015-09-28 11:00:00,2015-09-28 12:00:00,4.12
272,16,2406,9,2015-09-29,2015-09-29 11:00:00,2015-09-29 12:00:00,7.89
273,6,8353,8,2015-09-30,2015-09-30 11:00:00,2015-09-30 12:00:00,3.96
274,4,23,3,2015-10-01,2015-10-01 11:00:00,2015-10-01 12:00:00,4.94
275,5,8400,5,2015-10-02,2015-10-02 11:00:00,2015-10-02 12:00:00,5.2
276,16,6602,2,2015-10-03,2015-10-03 11:00:00,2015-10-03 12:00:00,4.47
277,6,8894,7,2015-10-04,2015-10-04 11:00:00,2015-10-04 12:00:00,7.07
278,4,4503,9,2015-10-05,2015-10-05 11:00:00,2015-10-05 12:00:00,8.13
279,15,9233,3,2015-10-06,2015-10-06 11:00:00,2015-10-06 12:00:00,1.52
280,16,6725,9,2015-10-07,2015-10-07 11:00:00,2015-10-07 12:00:00,6.9
281,6,1824,5,2015-10-08,2015-10-08 11:00:00,2015-10-08 12:00:00,4.86
282,13,322,10,2015-10-09,2015-10-09 11:00:00,2015-10-09 12:00:00,1.07
283,2,5017,7,2015-10-10,2015-10-10 11:00:00,2015-10-10 12:00:00,3.13
284,2,2247,3,2015-10-11,2015-10-11 11:00:00,2015-10-11 12:00:00,8.85
285,19,7994,9,2015-10-12,2015-10-12 11:00:00,2015-10-12 12:00:00,6.98
286,5,4066,9,2015-10-13,2015-10-13 11:00:00,2015-10-13 12:00:00,4.58
287,15,8734,5,2015-10-14,2015-10-14 11:00:00,2015-10-14 12:00:00,2.97
288,2,4249,6,2015-10-15,2015-10-15 11:00:00,2015-10-15 12:00:00,4.3
289,16,1781,4,2015-10-16,2015-10-16 11:00:00,2015-10-16 12:00:00,8.61
290,5,7994,2,2015-10-17,2015-10-17 11:00:00,2015-10-17 12:00:00,3.17
291,11,1417,10,2015-10-18,2015-10-18 11:00:00,2015-10-18 12:00:00,2.54
292,14,4996,2,2015-10-19,2015-10-19 11:00:00,2015-10-19 12:00:00,5.39
293,17,1510,8,2015-10-20,2015-10-20 11:00:00,2015-10-20 12:00:00,5.28
294,12,6279,6,2015-10-21,2015-10-21 11:00:00,2015-10-21 12:00:00,1.26
295,2,5790,7,2015-10-22,2015-10-22 11:00:00,2015-10-22 12:00:00,7.39
296,11,2144,5,2015-10-23,2015-10-23 11:00:00,2015-10-23 12:00:00,6.94
297,13,5523,5,2015-10-24,2015-10-24 11:00:00,2015-10-24 12:00:00,7.61
298,3,5309,10,2015-10-25,2015-10-25 11:00:00,2015-10-25 12:00:00,8.44
299,4,3744,8,2015-10-26,2015-10-26 11:00:00,2015-10-26 12:00:00,2.68
300,10,2339,8,2015-10-27,2015-10-27 11:00:00,2015-10-27 12:00:00,8.04
301,3,9198,4,2015-10-28,2015-10-28 11:00:00,2015-10-28 12:00:00,7.12
302,5,3858,7,2015-10-29,2015-10-29 11:00:00,2015-10-29 12:00:00,4.53
